,News Source,cleaned_text,sentiment
379,Citifmonline,industry regulators tour africas first ever portable spirits packaging line  citi 973 fm  relevant radio always,Positive
380,DAILY POST,a reckless nairobi slay queen dies after showing off to friends how she drinks gilbeys like water videos,Neutral
381,HapaKenya,kbl to host gordons fun fair at the flamingo beach resort on october 23  hapakenya,Positive
382,Little Black Book - LBBonline,gordons gin campaign celebrates special moments in modern life  lbbonline,Positive
383,Good Housekeeping uk,gordons new gin is the perfect tipple to celebrate christmas,Positive
384,CapeTown ETC,officers uncover an illegal alcohol distillery in khayelitsha,Negative
385,FoodBev.com,diageo expands gin offering with new variant,Positive
386,BellaNaija,gordons diner sparkles at lagos cocktail week 2023,Neutral
387,Namnews,gordons adds new gin variant for festive season,Positive
388,CampaignLive,gordons celebrates evenings at home in brand refresh,Neutral
389,Trend Hunter,seasonal sugar plum liqueurs,Neutral
390,The Grocer,how well is gordons gin selling in uk supermarkets,Neutral
391,Capital FM Kenya,eabl introduces premixed gordons gin  tonic variant  capital lifestyle,Neutral
392,Drinks Retailing News,drinks retailing,Neutral
393,Statista,leading premixed spirits cocktails readymade and alcoholic carbonates brands in gb from 2019 to 2021,Positive
394,Daily Mail,the gin boom is over in the uk as gordons bombay and tanqueray suffer losses,Neutral
395,Talking Retail,gordons unveils many evenings in campaign,Positive
396,Cosmopolitan UK,maya jama on throwing the ultimate house party,Neutral
397,Diageo,gordons  brand profile,Neutral
398,HapaKenya,eabl introduces new gordons variants ahead of the festive season  hapakenya,Positive
399,Trend Hunter,athome cocktail campaigns,Neutral
400,Critic Te Arohi,booze review gin  columns,Neutral
401,PR Newswire UK,gordons two minute pitcher creations are easy showstoppers of the summer,Positive
402,The Sun,i tried supermarket gt cans for summer  a gordons rival only costs 95p but tasted like water,Neutral
403,Daily Mail,why your gt could soon lose a little of its kick,Negative
404,The Drum,haymans gin takes on the industrys giants in first ooh campaign,Positive
405,Forbes,the newest trend in gin is about whats on the bottle not in it,Neutral
406,Yahoo New Zealand News,cheers maya jama and gordons premium pink team up for limited edition tipples,Negative
407,The Spirits Business,the spirits business awards 2023 reveals winners,Neutral
408,Metro.co.uk,maya jama shows you how to make a gordons pink paloma cocktail,Negative
409,UPROXX,we blindtasted 8 london dry gins to find the bloody champ,Negative
410,Good Housekeeping uk,best pink gins for 2023,Positive
411,Yahoo Finance,20 most popular gin brands in 2023,Positive
412,Metro.co.uk,maya jama announces major new career move away from love island,Positive
413,Evening Standard,maya jama reveals how friends have helped her feel invincible a year on from ben simmons split,Neutral
414,Shortlist,the best flavoured gin and pink gin tried and tested,Positive
415,Drinks International,has the uk gin bubble burst,Neutral
416,The Grocer,gin boom officially over as big brands see sales slump,Neutral
417,Daily Meal,15 gin brands ranked worst to best,Neutral
418,Verge Magazine,gordons premium pink announces partnership with maya jama,Positive
419,Yahoo Finance,introducing house of 00  a collection of alcoholfree products designed to be delicious from the brands you know ,Positive
420,The Spruce Eats,james bonds vesper martini recipe  cocktails,Neutral
421,The Spirits Business,the worlds biggestselling gin brands,Neutral
422,DRAM Scotland,the facts and stats of gin,Neutral
423,SquareMeal,best alcoholfree gin 2023 13 nonalcoholic gins for teetotal tippling,Positive
424,Mashed,25 popular gin brands ranked worst to best,Positive
425,LDNFASHION,maya jama teams up with gordons gin,Neutral
426,MyBroadband,who owns south africas favourite alcohol brands,Neutral
427,BellaNaija,here is how gordons celebrated this years world gin day,Positive
428,Evening Standard,best gins to try in 2023 in a gt a cocktail or to sip straight,Positive
429,Tasting Table,the real reason gordon ramsays gin ad was banned,Positive
430,Wales Online,tesco is selling litre bottles of gin vodka and rum for 18,Neutral
431,Soundcity TV,in pictures how the highly anticipated gordons fun fair went down  soundcity,Positive
432,Men's Journal,the best gin brands to drink in 2023,Positive
433,CityNews Calgary,major drink brands launch more nonalcoholic drinks as sober curious trend grows,Positive
434,BellaNaija,gordons gin kept the cocktails flowing at the happyness party 2021  get the scoop,Neutral
435,just-drinks.com,diageo updates packaging for gordons,Neutral
436,Jamaica Observer,hearty party at gin n juice,Neutral
437,FoodBev.com,diageo introduces gordons sicilian lemon distilled gin,Neutral
438,YoMzansi,new alcohol ranges and flavours in south africa,Positive
439,Warc,how gordons turned from a woolly jumper into a dynamic challenger to net ipa silver,Neutral
440,BellaNaija,get ready to experience the gordons playground ginspired launch of the new sunset orange and pink berry ,Positive
441,Good Housekeeping uk,gordons premium pink gin now comes in an alcoholfree version,Positive
442,just-drinks.com,diageos gordons tropical passionfruit and morello cherry gins  product launch,Neutral
443,Good Housekeeping uk,gordons gin tropical passionfruit flavour gordons new flavour,Positive
444,Tasting Table,15 popular gin brands ranked,Positive
445,FoodBev.com,diageo targets younger audience with gordons premium pink gin,Negative
446,The Sun,gordons alcohol free gin review how does it compare to the real thing,Positive
447,The Drinks Report,gordons unveils newlook bottles,Neutral
448,The Drum,the noalcohol spirit brand is it the worlds silliest phenomenon,Neutral
449,Good Housekeeping uk,gordons cherry gin gordons launches morello cherry gin,Neutral
450,The Spirits Business,gordons gin celebrates 250th anniversary,Neutral
451,BellaNaija,gordons teams up with adekunle gold to deliver a night of great music and premium gin,Positive
452,FoodBev.com,diageo introduces alcoholfree gordons gin alternative in uk,Neutral
453,The Spirits Business,diageo creates alcoholfree gordons,Neutral
454,Cosmopolitan UK,this brand is looking for someone to taste test gordons new gin flavours,Positive
455,Cosmopolitan UK,gordons pink gin is now available in a tin,Positive
456,Delish UK,gordons gin now comes in alcoholfree,Neutral
457,Cosmopolitan UK,you can now drink gordons gin with an edible limeflavoured straw,Neutral
458,The Spirits Business,gordons gin a brand history,Neutral
459,Good Housekeeping uk,gordons launches new white peach distilled gin,Positive
460,The Spirits Business,gordons grows flavoured gin line with white peach,Neutral
461,VinePair,gordons gin  lime popsicles are arriving just in time for spring,Neutral
462,The Drum,creative works  gordons pink gin shall we by anomaly,Positive
463,CampaignLive,gordons gin takes to the thames for boat commute,Neutral
464,Good Housekeeping uk,gordons gin and lime ice lollies are here and were ready for summer,Positive
465,Kent Online,why nonalcoholic beers and spirits are on the rise,Neutral
466,Namnews,gordons gin gets a makeover,Neutral
467,The Spirits Business,gin brand champion 2019 gordons,Neutral
468,FoodBev.com,gin brand gordons adopts major packaging redesign,Positive
469,Good Housekeeping uk,you can now get gordons gin cupcakes in two tasty flavours,Neutral
470,The Times of Israel,archaeologists uncork 100yearold liquor stash left by british troops,Neutral
471,Marketing Week,diageo looks to turn gordons from a default to a standout gin brand,Neutral
472,Yahoo Lifestyle UK,you can now get gordons gin cupcakes in two tasty flavours,Neutral
473,Good Housekeeping uk,gordons sicilian lemon gin launches for summer,Neutral
474,The Spirits Business,gordons pink gin launches playful tv ad,Neutral
475,Metro.co.uk,gordons gin is launching a new sicilian lemon flavour,Positive
477,The Drum,gordons gin bucks craft messaging trend to focus on simple pleasure of a gt,Neutral
480,The Portugal News,guinness storehouse served 12 million pints in 2023,Neutral
481,Diageo,guinness agrees a groundbreaking partnership with the six nations rugby spanning the womens and mens ,Neutral
482,Pulse Live Kenya,did you know guinness contains coffee  chocolate  moments from nairobi beer festival 2023 photos,Neutral
483,Grocery Gazette,guinness owner diageo plummets to lowest share in four years,Neutral
484,Bizna Kenya,guinness delights beer enthusiasts with an immerse tasting experience,Neutral
485,AfricanFinancials,guinness nigeria plc guinneng 2023 annual report,Neutral
487,The Press & Journal,alcohol free beer taste test guinness 00 brewdog and joker,Positive
488,Investopedia,diageo shares plunge as maker of guinness johnny walker issues warning on profit,Neutral
489,Health Digest,the guinness diet has one unexpected health benefit,Positive
490,Diageo,newest guinness open gate brewery opens in chicago,Neutral
491,The Drinks Business,reports claim diageo looking to sell beer portfolio  but not guinness,Neutral
492,Forbes,guinness 0 just might be the best na beer on the market,Positive
493,Diageo,the year guinness became great britains favourite pint,Positive
494,Forbes,4 of the best nonalcoholic beers for dry january,Positive
495,Diageo,guinness receives accolades for design of latest innovations,Positive
496,Euronews,guinness manufacturer diageo sees stock plunge on profit warning,Neutral
497,Forbes,guinness is hoping to score off of their partnerships with notre dame and navy,Neutral
498,NBC Chicago,walkins now accepted at chicagos guinness open gate brewery,Neutral
499,The Independent,6 best home beer dispensers for pouring the perfect draught pint,Positive
500,Reuters,spirits giant diageo seeks to sell beer portfolio on margin concerns axios,Neutral
501,The Manual,corona guinness and more the most popular beers and beer brands in america ranked,Positive
502,The Telegraph,guinness maker blames alcohol tax for rise in weaker beers,Neutral
503,CampaignLive,guinness unveils foot pints boots that leave stoutprints in the snow,Neutral
504,SchengenVisaInfo.com,guinness storehouse in dublin wins europes leading beer tour visitor experience award 2023,Positive
505,NBC Chicago,guinness debuts beers you can only get at new chicago taproom,Positive
507,Maxim,the guinness storehouse is offering an extravagant buyout deal for stout superfans,Neutral
508,porchdrinking.com,guinness open gate brewery now open in chicago,Neutral
509,The Grocer,is diageo selling its beer and guinness brands,Neutral
510,Daily Mail,warning over whatsapp guinness scam that offers a fridge full of beer on fathers day,Positive
511,The Drinks Business,guinness fathers day scam continues to circulate via whatsapp,Neutral
512,Axios,chicagos guinness brewery opens in fulton market what to eat drink,Neutral
513,NBC Chicago,guinness brewery to open this week in the west loop heres a preview of the menu,Neutral
514,NBC Chicago,property of newly opened guinness brewery in chicagos west loop up for sale,Positive
515,NBC Chicago,first images show inside new guinness brewery in chicago,Positive
516,NBC Chicago,guinness open gate brewery to bring unique beers foods to chicagos west loop,Positive
517,Chicago Star Media,the guinness open gate brewery opens in the west loop,Neutral
518,The Manual,guinness extra stout vs draught which one tastes better,Positive
519,Drinks International,guinness brewery in chicago opens to the public,Neutral
520,Beer & Brewer,recipe of the week low alc guinness clone,Neutral
521,Tasting Table,glaze your holiday ham with guinness for a malty caramellike crust,Neutral
522,Block Club Chicago,chicagos guinness brewery opens thursday heres everything you need to know,Neutral
523,The Guardian,meera sodhas vegan recipe for mushroom guinness and pearl barley stew,Neutral
524,The Drinks Business,guinness cocktail called the badger reemerges,Neutral
525,Yahoo,guinness fans the guinness nitrosurge is going at 15 off,Neutral
526,Eater Chicago,explore guinness open gate brewery in fulton market,Neutral
527,MassLive.com,beer nut guinness 0 tastes close to the real thing,Positive
528,The Drinks Business,guinness opens chicago brewery,Neutral
529,Trend Micro News,guinness beer fathers day giveaway scams,Neutral
530,The Telegraph,guinness wars as breweries launch rival stouts  we see if they match up,Neutral
531,VinePair,the vinepair podcast is guinness the perfect beer,Positive
532,Mashed,the mustache tax that comes with drinking a guinness,Neutral
533,Chicago Tribune,restaurant review guinness open gate brewery chicago,Neutral
535,MorningAdvertiser.co.uk,guinness and its rivals on international stout day,Neutral
536,CoStar Group,newly opened guinness brewery in chicago for sale,Positive
537,WIBX AM 950,fx matt brewing company will begin brewing a guinness beer,Neutral
538,Tasting Table,11 guinness beers ranked worst to best,Neutral
539,Yahoo Finance,the guinness open gate brewery hosts grand opening in chicago,Positive
540,AfricanFinancials,guinness nigeria plc guinneng hy2023 interim report,Neutral
541,Yahoo Finance,the only privately held guinness open gate brewery offered,Neutral
542,Eater Chicago,guinness opens its chicago brewery 171 days before st patricks day,Neutral
543,The Aspen Times,wineink the gift of guinness  aspentimescom,Neutral
544,IrishCentral,guinness storehouse served more than 12 million pints in 2023,Positive
545,The Grocer,why has camden town launched a stout to rival guinness,Neutral
546,LADbible,black friday philips perfect draft and guinness nitrosurge beer deals,Positive
547,Daily Meal,is there actually beer in guinness cake,Neutral
549,Campaign Brief,guinness brewery of meteorology launches for optimal drinking conditions this winter in newly launched campaign via ,Positive
550,FOX 32 Chicago,guinness opens second global brewpub in chicago importing beer straight from ireland,Positive
551,Time Out,guinness open gate brewery transcends the traditional irish pub,Neutral
552,In The Know,everyone knows the guinness book of world records but do you know the origin story,Neutral
553,Sports Business Journal,joe burrow joe montana star in new guinness ad for nonalcoholic beer,Positive
554,Irish Independent,interviews with the men who change the year on st james gate at the guinness brewery,Neutral
556,FoodSided,guinness open gate brewery baltimore pours a story with every pint,Neutral
557,Daily Mail,neighbours star madeleine west and her ex shannon bennetts daughter phoenix enjoys her first guinness beer as,Positive
558,Scranton,reminder scranton clubs to hold guinness tour and tasting oct 15,Neutral
559,CBS News,owner of guinness open gate brewery closing manufacturing facility in baltimore county,Neutral
560,The Drinks Business,guinness 00 made available on draught in 1000 irish pubs,Positive
563,Canada NewsWire,guinness brings its magic to canada with the launch of guinness 0 nonalcoholic draught franais,Positive
564,Strategy Online,guinness makes magic with new nonalc brew,Positive
565,Designboom,dolmendesigned guinness microdraught 20 brings iconic twopart pour anywhere any occasion,Positive
566,Raconteur,back in black how guinness rose from pub bore to flavour of the year,Positive
567,The Drinks Business,guinness named most popular beer in us while bud light falls,Positive
568,The Herts Advertiser,beer column the history of nigerian guinness in dublin,Neutral
569,American Craft Beer,guinness brewery named worlds leading tourist attraction for 2023,Neutral
570,Brewbound.com,guinness open gate brewery celebrates 5th anniversary weekend,Neutral
571,TMZ,stars drinking guinness beer  happy st patricks day,Positive
572,WLS-TV,guinness open gate brewery taproom opening in chicagos west loop thursday,Neutral
573,Marketing Week,this much i learned the dna of guinness and why that matters in 2023,Positive
574,syracuse.com,in its newest deal uticas fx matt  saranac brewery will produce a beer for guinness,Neutral
575,Highsnobiety,year of the dragon with johnnie walker x james jean,Neutral
576,Tuko.co.ke ,johnie walker delivers an unforgettable experience at the walker town concert in nakuru,Positive
577,Kenya Broadcasting Corporation,walker town celebrates oneyear anniversary as it makes grand debut in nairobi,Positive
578,The Moodie Davitt Report,images of the day johnnie walker steals the spotlight at incheon airport with highprofile year of the dragon ,Neutral
579,HapaKenya,pinky ghelani  johnnie walker partner in an event to empower women  hapakenya,Neutral
580,Concrete Playground Sydney,johnnie walker blue label mahjong club sydney,Neutral
581,pmldaily.com,noni vie teams up with johnnie walker for the battle of the dons new years party,Positive
583,Capital FM Kenya,kbls johnnie walker event boosts nakurus economy,Neutral
584,Kawowo Sports,indiza swings to 2023 johnnie walker uganda golf pro open title,Neutral
585,Trend Hunter,immersive whiskey brand activations,Neutral
586,Breaking Travel News,johnnie walker princes street crowned worlds leading spirit experience by world travel awards,Neutral
587,BellaNaija,anny robert unveils the confluence in collaboration with johnnie walker,Neutral
588,The Spirits Business,johnnie walker unveils gtr exclusive,Neutral
589,The Moodie Davitt Report,times df boosts dutyfree  concept with johnnie walker golf tournament  the moodie davitt report,Neutral
590,pmldaily.com,johnnie walker turns up the vibes with bottle turn up experience at the villa,Neutral
591,BellaNaija,johnnie walker in partnership with airink launches the keep walking lagos bottle  see more,Positive
592,pmldaily.com,johnnie walker to spice up najjera fest second edition,Neutral
593,pmldaily.com,winnie nwagi cindy and johnnie walker spice up h20 lounges six year celebrations,Neutral
594,BeverageDaily.com,new beverage launches from scotch to tequila,Positive
595,The Moodie Davitt Report,diageo global travel hosts luxury launch for johnnie walker blue label xordinaire in hainan  the moodie davitt report,Neutral
596,Bloomberg,diageos nigerian arm to stop importing johnnie walker amid fx shortages,Neutral
597,One More Dram,johnnie walker announces blue label xordinaire,Neutral
598,The Moodie Davitt Report,image of the day johnnie walker blue label xordinaire launch campaign proves a bulletproof hit and a show ,Positive
599,The Spirits Business,johnnie walker collaborates with honey dijon,Neutral
600,Forbes,hannah waddingham cheers to watch womens sports in new campaign with johnnie walker,Positive
601,DFNIonline.com,johnnie walker blue label xordinaire launches in asia,Neutral
602,Businessday,johnnie walker maker to establish nigerian entity as guinness ends whisky sales,Neutral
603,Jamaica Observer,photos heinekens crisp vibes meet johnnie walkers sophistication at sunrise,Positive
604,Beverage Industry,johnnie walker launches limitededition bottle for blue label elusive umami,Neutral
605,Grazia USA,gucci to johnnie walker how luxury has evolved over time,Neutral
606,The Spirits Business,johnnie walker is fifth most valuable brand in uk,Positive
607,Forbes,heres what honey dijon thinks johnnie walkers elusive umami blue label sounds like,Neutral
608,Kawowo Sports,photos johnnie walker uganda amateur open golf championship  day two,Neutral
609,Prestige Online Thailand,johnnie walker introduces the blue label elusive umami in collaboration with chef kei kobayashi,Neutral
610,The Spirits Business,umami fronts latest johnnie walker release,Positive
611,BellaNaija,johnnie walker took on the maryland independence tunnel revamp to promote the culture and creativity of nigerians,Neutral
612,UPROXX,all 18 johnnie walker scotch whiskeys ranked for 2023,Neutral
613,Kawowo Sports,photos johnnie walker uganda golf pro open  day one,Neutral
614,pmldaily.com,johnnie walker bottle turn up experience excites h20 lounge,Neutral
615,The Moodie Davitt Report,diageo global travel introduces travel retailexclusive city bags for johnnie walker  the moodie davitt report,Neutral
616,L'Officiel Philippines,take a deep dive into johnnie walker blue label with master blender emma walker,Neutral
617,PR Newswire,johnnie walker launches blue label elusive umami,Neutral
618,pmldaily.com,the johnnie walker bottle turn up experience returns to bars delighting whisky lovers,Neutral
619,Yahoo Life,bearface releases matsunake 01 a new canadian whisky with umami flavors,Positive
620,Fortune,meet emma walker johnnie walkers first female master blender after more than 200 years in business,Positive
621,Kawowo Sports,photos johnnie walker uganda ladies golf open  day one,Neutral
622,PR Newswire,johnnie walker and hannah waddingham introduce match day memos campaign to rally the ,Neutral
623,L'Officiel Philippines,the new johnnie walker blue label elusive umami will take you on an epicurean journey,Positive
624,L'Officiel Philippines,johnnie walkers cardhu distillery is a testament to womens genius,Neutral
625,chimpreports.com,dismas indiza wins 2023 johnnie walker uganda golf open,Positive
626,The Moodie Davitt Report,diageo celebrates johnnie walker blue label xordinaire launch with spectacular changi popup  the moodie davitt ,Positive
627,L'Officiel Philippines,anatomy of a luxury whisky johnnie walkers masterpiece,Neutral
628,TheCable,just in producers of johnnie walker to establish nigerian entity,Neutral
629,CNN,the company behind johnnie walker and guinness appoints first female ceo,Positive
630,Men's Journal,johnnie walker releases new elusive umami blue label,Positive
631,Times of Malta,zidane de wins johnnie walker cup final,Positive
632,Kawowo Sports,photos johnnie walker uganda open golf championship launch,Neutral
633,Robb Report,johnnie walker and a michelin 3starred chef created a blue label whisky with umami,Neutral
634,Gay Times Magazine,honey dijon discusses her new collab with johnnie walker blue label,Positive
635,Prestige Online Thailand,johnnie walker teams up with chef kei kobayashi for a new and exclusive scotch whisky encapsulating the enigmatic taste of umami,Positive
636,Forbes,where to drink in edinburgh the top 13 bars according to johnnie walker master blender emma walker,Positive
638,Marketing Interactive,johnnie walker strikes a bold move with new campaign,Positive
639,BellaNaija,johnnie walker and anny robert collaborate on artistic tribute to nigeria,Positive
640,The Moodie Davitt Report,on location diageo global travel launches luxury johnnie walker shopinshop with world duty free at heathrow ,Positive
641,The Spirits Business,johnnie walker launches womens sports initiative,Neutral
642,PR Newswire,unveiling depth of blue dinners a culinary journey into johnnie walker blue labels flavourful world,Neutral
643,One More Dram,johnnie walker announces blue label elusive umami,Neutral
644,InsideHook,johnnie walker just released a blue label umami whisky,Neutral
645,Kawowo Sports,photos johnnie walker uganda professional golf open  day three,Positive
646,Fast Company,brands like participant and johnnie walker focus on cultural impact,Positive
647,Kawowo Sports,johnnie walker uganda pro open 2023 full day 1 draw 10 countries represented,Positive
648,MediaPost Communications,johnnie walker makes an entrance as a party essential 10182023,Neutral
649,Bake,kitsby teams up with johnnie walker on mooncake and tea pairing set,Neutral
650,BellaNaija,the walkers mix an evening of inspiring connections among the creative community  heres how it went,Positive
651,Prestige Online Thailand,johnnie walker introduces the multisensory johnnie walker depth of blue room at park hyatt bangkok,Neutral
652,The Moodie Davitt Report,diageo global travel highlights hainan with eyecatching design in johnnie walker blue label cities of the future ,Neutral
653,Daily News,tz johnnie walker salutes 62 years of tanzania independence,Neutral
654,The Spirits Business,johnnie walker unveils limited edition bottle,Positive
655,Adweek,johnnie walker and ted lassos boss back womens sports,Neutral
657,Yahoo Finance,savour the extraordinary with johnnie walker blue label xordinaire,Positive
658,Business Today,pouring cheers johnnie walker other scotch brands to get cheaper after indiauk fta agreement,Negative
659,Study Finds,what is the best whiskey top 5 spirits most recommended by experts,Positive
660,pmldaily.com,johnnie walker celebrates world whisky day,Neutral
661,The Moodie Davitt Report,quaternity in action as diageo partners with dxb dubai duty free and jcdecaux in johnnie walker blue label ,Positive
662,Kawowo Sports,photos johnnie walker uganda golf pro open  day two,Neutral
663,Business Daily,eabl taps into festive gifting with limited edition johnnie walker,Positive
664,Harpers Wine & Spirit Trade Review,johnnie walker is 5th most valuable uk brand,Positive
665,Man of Many,10 most expensive johnnie walker whiskies still on the market,Neutral
666,SWAGGER Magazine,indulge your senses the johnnie walker blue room returns to yorkdale shopping centre,Neutral
667,Ad Age,johnnie walker shifts marketing to branded tv content,Neutral
668,DFNIonline.com,johnnie walker blue label xordinaire launches at changi airport,Neutral
669,Luxury Daily,luxury daily,Neutral
670,Prestige Online,unraveling the johnnie walker blue label ghost and rare port dundas soiree,Positive
671,Inside Retail Australia,johnnie walker opens whiskytasting experience in sydney cbd,Neutral
672,Prestige Online,harmony of the senses with the johnnie walker blue label elusive umami,Neutral
673,Business Daily,eabl loses sh24bn senator keg tax relief in three years,Negative
674,BUSINESS TODAY KENYA,why you should start keg alcohol business  and disadvantages,Neutral
675,Capital FM Kenya,low senator keg sales slow eabl growth,Negative
676,The Standard,eabl hikes prices of popular brands but keg lovers spared,Positive
677,HapaKenya,senator keg ends shikisha form na senator campaign with 5 kenyans winning ksh 2 million each  hapakenya,Positive
678,Tuko.co.ke ,list of eabl distributors in kenya and how you can become one,Neutral
679,CBBC Newsround,bbc news  world  africa  kenyan beer stirs obamamania,Neutral
680,Business Daily,keg beer lovers to pay more as price goes up next month,Positive
681,The Star Kenya ,uhuru says he prefers tusker to white cap  nairobi,Neutral
682,The Standard,court bars kra from pursuing kenya breweries in an sh8b tax revisit battle,Neutral
683,Capital FM Kenya,bar owners ask for longer opening hours free covid19 tests,Positive
684,Business Daily,kbl raises senator keg beer output by 20 per cent as demand rises,Neutral
685,Capital FM Kenya,kbl kisumu plant ready for commissioning  capital business,Positive
686,The Standard,kbl seeks out retailers for keg brand,Neutral
687,Business Daily,kbl to bring on board 5000 more growers of sorghum,Positive
688,The Standard,brewer eyes to raise sorghum output for kisumu keg factory,Neutral
689,Capital FM Kenya,kbl set to recruit 5000 sorghum farmers  capital business,Neutral
690,Business Daily,eabl kisumu plant to roll out first senator keg barrel mid july,Positive
691,The Standard,kenya editors guild condemns senator cheruiyots utterances referring to media as cartel,Neutral
692,Business Daily,eabl saves sh1bn on kisumu senator keg factory budget,Neutral
693,The Star Kenya ,senators head to naivasha for five day induction retreat,Neutral
694,Citizen Digital,senator orwoba zubeida kananu lock horns in spat over media freedom,Neutral
695,The Standard,firms that built empires on the power of pennies,Neutral
696,The Standard,keg whisky drive eabl profit growth,Neutral
697,Packaging South Asia,east african breweries invests in khss efficient kegging line,Neutral
698,The Standard,brewer seeks partners to lift sorghum production,Neutral
699,Nairobi News,unapologetic senator cheruiyot insists kenyan media is a cartel,Neutral
700,Tuko.co.ke ,cease and desist kenya editors guild warns aaron cheruiyot against antimedia campaign,Neutral
701,The Standard,more than half of alcohol consumed in kenya is illicit says alliance,Positive
702,Business Daily,eabl eyes 4000 new bars for kisumu plant,Positive
703,Ventures Africa,kenya alcohol ban to cost billions thousands of jobs in three months,Neutral
704,Business Daily,sh15bn kisumu brewery awaits rollout,Neutral
705,Business Daily,political uncertainty hit eabls half year sales diageo says,Negative
706,Tuko.co.ke ,aaron cheruiyot says kalenjins deserve plum jobs in kenya kwanza govt were also kenyans,Neutral
707,The Standard,eabl full year profits drop to sh73 billion from sh85 billion in 2017,Positive
708,Wall Street Journal (India),with west flat big brewers peddle cheap beer in africa,Positive
709,Hivisasa,beer maker kicks off senator keg pump distribution in kisumu,Neutral
710,Hivisasa,keg distributors needed as kbl beefs up distribution channels,Neutral
711,KenyanVibe,how the tusker oktobafest 2023 finale went down,Positive
712,Nairobi News,nairobi tusker oktobafest underway  nairobi news,Neutral
713,Pulse Live Kenya,how over 100 acts will line up for the 3day tusker oktobafest,Neutral
714,Kenya Broadcasting Corporation,mejja ndovu kuu femi one to headline final tusker oktobafest regional event in nanyuki,Neutral
715,Techweez,safaricom closes kes 30m tech sponsorship deal for tusker oktobafest,Neutral
716,BUSINESS TODAY KENYA,safaricom to power tusker oktobafest beer festival,Neutral
717,Citizen Digital,preparations complete as threeday oktobafest set to begin in nairobi tomorrow,Positive
718,HapaKenya,tusker oktobafest east africa edition artistes lineup named  hapakenya,Neutral
719,Tuko.co.ke ,diamond nyashinski and khaligraph lead rich list of top artistes to perform at oktoberfest,Positive
720,KenyanVibe,why tusker oktobafest 2023 the festivals most successful run yet,Positive
721,Kenya Broadcasting Corporation,kenyas oktobafest set to go regional as the 2023 edition launches,Neutral
722,Nation,kenya beer festival extends to uganda tanzania as oktobafest fans shrug off economic gloom,Positive
723,Citizen Digital,nyashinski diamond platnumz to headline final oktobafest concert in nairobi,Neutral
724,HapaKenya,tusker oktobafest 2023 wraps its regional events in nanyuki  hapakenya,Neutral
725,Pulse Live Kenya,oktobafest east africa experience a celebration of culture through beer music  more,Positive
726,KenyanVibe,oktobafest 2023 wraps up regional shows ahead of grand finale,Positive
727,KenyanVibe,diamond nyashinski and john frog to headline the oktobafest 2023 finale,Neutral
728,Nairobi News,diamond platnumz to attempt stage diving stunt at nairobis tusker oktobafest,Neutral
729,KenyanVibe,oktobafest ignites mombasa in third regional event,Neutral
730,HapaKenya,khaligraph jones  ndovu kuu to headline first tusker oktobafest in kisumu this weekend  hapakenya,Positive
731,Pulse Live Kenya,celebrating beer music fashion  the next big influencers with tusker oktobafest at the pulse influencer awards,Neutral
732,KenyanVibe,tusker oktoba fest returns grander with a focus on east africa,Neutral
733,KenyanVibe,oktobafest enthralls fans in kisumu over the weekend,Neutral
734,Pulse Live Kenya,nyashinskis 5 stage collabos that thrilled fans at tusker oktobafest east africa experience,Positive
735,TechTrendsKE,safaricom to showcase its network and payments strengths at oktobafest,Neutral
736,HapaKenya,regional tusker oktobafest to be hosted in kenya uganda tanzania  south sudan  hapakenya,Neutral
737,Kenya Broadcasting Corporation,wakadinali mejja vijana barubaru head to naivasha for oktobafest,Neutral
738,Nairobi News,diamond nyashinski john frog to headline oktobafest finale in nairobi,Neutral
739,HapaKenya,tusker oktobafest 2023 wraps up naivasha leg  hapakenya,Neutral
740,Pulse Live Kenya,diamond speaks on his new rate card  why he hasnt performed in kenya for a while,Positive
741,KenyanVibe,your ultimate events guide to mashujaa day weekend 2023,Neutral
742,HapaKenya,tusker oktobafest mombasa showcases east african culture in regional event  hapakenya,Neutral
743,Pulse Live Kenya,mejja femi one khaligraph 15 other top acts rocking oktobafest this weekend,Positive
744,KenyanVibe,wakadinali  mejja rock the oktobafest concert in naivasha,Neutral
745,HapaKenya,tusker oktobafest 2022 to have 3 events between oct 830 in eldoret mwea  nairobi  hapakenya,Neutral
746,Capital FM Kenya,sherehe to the max 100 acts confirmed for oktobafest this weekend,Positive
747,Pulse Live Kenya,business owners enjoy windfall as beer festival brightens sleepy mwea town photos,Positive
748,HapaKenya,tusker cider hosts garden of eden themed party on valentines at mawimbi restaurant  hapakenya,Neutral
749,HapaKenya,tusker nexterfest concerts to head to mombasa  eldoret this weekend  hapakenya,Neutral
750,The Star Kenya ,allkenyan lineup set to rock oktobafest  nairobi,Neutral
751,HapaKenya,the 2019 tusker oktobafest to be held on october 56 at ngong racecourse  hapakenya,Neutral
752,Kiss 100,diamond platnumz thrills kenyans at ngong racecourse,Neutral
753,Standard Gazette,tusker and safaricom sign usd200000 tech partnership for upcoming beer festival,Neutral
754,Diageo,serengeti breweries commission historic water dam,Neutral
755,Africa Outlook Magazine,serengeti breweries  a taste of serengeti,Neutral
756,The Citizen,serengeti breweries loses sh1 billion appeal against break point,Negative
757,The East African,karuku a toast to tanzania for the fastest growth as we go into next century,Neutral
758,Daily News,sbl awards scholarships to students in iringa,Neutral
759,The Star Kenya ,eabl to acquire 30 additional stake in serengeti breweries,Neutral
